מק"ט,שם פריט,מלאי עדכני,תקן,כמות חוסר,כמות להזמנה,הסבר
1802,צווארון מתכוונן לילד,0,4,4,4,סופק במלואו (כולל עיגול חבילות)
1902,מדל"ד מבוגר,27,11,0,0,מלאי תקין או גדול מהתקן בסניף
1903,מדל"ד ילד,4,4,0,0,מלאי תקין או גדול מהתקן בסניף
1904,סטטוסקופ,13,9,0,0,מלאי תקין או גדול מהתקן בסניף
1905,סוללות סיטורציה,48,32,0,0,מלאי תקין או גדול מהתקן בסניף
2001,ערכת לידה,15,15,0,0,מלאי תקין או גדול מהתקן בסניף
2404,אספירין,140,150,10,10,סופק במלואו (כולל עיגול חבילות)
2531,סוללה 9V לדפי,17,15,0,0,מלאי תקין או גדול מהתקן בסניף
2605,מדבקות לייפליין,22,19,0,0,מלאי תקין או גדול מהתקן בסניף
2607,סכין גילוח,13,10,0,0,מלאי תקין או גדול מהתקן בסניף
2701,סדין לאמבולנס - חד"פ,140,75,0,0,מלאי תקין או גדול מהתקן בסניף
2720,שקית הקאה,70,40,0,0,מלאי תקין או גדול מהתקן בסניף
2721,מגבונים למילוי,4,4,0,0,מלאי תקין או גדול מהתקן בסניף
2727,ספטדין תמיסה 500 מ''ל (סמארט ספט / תחליפים לספטול),4,4,0,0,מלאי תקין או גדול מהתקן בסניף
2749,שמיכה קיץ ח"פ לאמבולנס,15,10,0,0,מלאי תקין או גדול מהתקן בסניף
3207,אלונקת חירום,18,19,1,1,סופק במלואו (כולל עיגול חבילות)
3702,פולידין תמיסה 20 מ"ל,21,22,1,1,סופק במלואו (כולל עיגול חבילות)
3708,אמבו הנשמה מבוגר,19,8,0,0,מלאי תקין או גדול מהתקן בסניף
3733,אמבו הנשמה ילד,8,8,0,0,מלאי תקין או גדול מהתקן בסניף
4603,סט תגי אר"ן,25,19,0,0,מלאי תקין או גדול מהתקן בסניף
4605,טוש שחור,6,8,2,2,סופק במלואו (כולל עיגול חבילות)
4806,טבעת אטם לבלון חמצן,38,15,0,0,מלאי תקין או גדול מהתקן בסניף
4901,חסם עורקים קאט - השתלמויות (לא מקורי),24,15,0,0,מלאי תקין או גדול מהתקן בסניף
72322,קליפס לראגר,0,19,19,12,סופק חלקית - מלאי מרלוג מוגבל
